"MKZ";"AJvon";"AJbis";"Minimum";"Maximum";"Spannweite";"Steigung";"Korrelationskoeffizient";"Bestimmtheitsmaß";"Netzart";"Anzahl Fehljahre";"Anzahl unvollst. AJ";"Anzahl vollst. AJ";"GRIMM-STRELE";"GWK";"GWK25"
"48543022";1998;2025;197,96;198,99;1,03;-0,0040874;-0,147;0,022;"EZS 48";"Fehljahre: 1998";1;27;-0,396834951456311;"DESN_SP-2-2";"DESN_SP-2-2"
"48543024";1995;2009;214,59;216,61;2,02;-0,0416587;-0,5;0,25;"ohne 0";"Fehljahre: 2009";1;14;-2,06231188118812;"DESN_SP-2-2";"DESN_SP-2-2"
"48543027";1995;1997;181,4;182,43;1,03;-0,1559752;-0,489;0,239;"ohne 0";"Fehljahre: 1996/1997";2;1;-15,1432233009709;"DESN_SP-2-2";"DESN_SP-2-2"
"48543034";1995;2004;264,87;265,73;0,86;-0,0318834;-0,696;0,486;"ohne 0";"Fehljahre: 2002";1;9;-3,70737209302326;"DESN_SP-2-2";"DESN_SP-2-2"
"48543035";1995;2009;199,59;200,32;0,73;-0,0296466;-0,653;0,428;"ohne 0";"Fehljahre: 2008/2009";2;13;-4,06117808219178;"DESN_SP-2-2";"DESN_SP-2-2"
"48543044";1995;1993;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-2-2";"DESN_SP-2-2"
"48543045";1995;2025;179,77;185,51;5,74;-0,014119;-0,237;0,057;"EZS 48";"Fehljahre: 2001, 2004, 2006/2008, 2015/2016, 2020, 2023";9;22;-0,245975609756098;"DESN_SP-1-2";"DESN_SP-1-3"
"48549002";2008;2025;204,44;206,88;2,44;-0,0722346;-0,694;0,482;"MENGE 365, UEB 1";"Fehljahre: 2008/2010";3;15;-2,96043442622951;"DESN_SP-2-2";"DESN_SP-2-2"
"48550002";2021;2025;205,81;206,57;0,76;0,0743568;0,423;0,179;"OMD 1, EZS 365";"Fehljahre: 2021";1;4;9,78378947368421;"DESN_SP-2-2";"DESN_SP-2-2"
"48553012";1995;1995;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-2-2";"DESN_SP-2-2"
"48553013";1995;2025;243,36;245,86;2,5;-0,0112013;-0,212;0,045;"MENGE 48";"Fehljahre: 2003, 2006/2007";3;28;-0,448052;"DESN_SP-2-2";"DESN_SP-2-2"
"48553014";1995;2009;245,29;248,68;3,39;-0,07525;-0,353;0,125;"ohne 0";"Fehljahre: 2009";1;14;-2,21976401179941;"DESN_SP-2-2";"DESN_SP-2-2"
"48553015";1995;2003;243,69;245,74;2,05;-0,018532;-0,093;0,009;"ohne 0";"Fehljahre:";0;9;-0,904;"DESN_SP-2-2";"DESN_SP-2-2"
"48553016";1995;2009;250,97;253,11;2,14;0,0015597;0,01;0;"ohne 0";"Fehljahre: 2000, 2003/2004, 2006, 2009";5;10;0,0728831775700935;"DESN_SP-2-2";"DESN_SP-2-2"
"48553030";1995;1999;244,26;245,13;0,87;-0,1007858;-0,692;0,48;"ohne 0";"Fehljahre:";0;5;-11,5845747126437;"DESN_SP-2-2";"DESN_SP-2-2"
"48553037";1995;2025;240,28;242,77;2,49;-0,0023357;-0,035;0,001;"MENGE 48";"Fehljahre: 2006";1;30;-0,0938032128514056;"DESN_SP-2-2";"DESN_SP-2-2"
"48553038";1995;1967;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-2-2";"DESN_SP-2-2"
"48553039";1995;2025;205,33;207,27;1,94;-0,0116346;-0,267;0,071;"MENGE 48";"Fehljahre:";0;31;-0,599721649484536;"DESN_SP-2-2";"DESN_SP-2-2"
"48553040";1995;2015;201,4;203,64;2,24;0,0103282;0,147;0,022;"ohne 0";"Fehljahre: 2006, 2015";2;19;0,461080357142857;"DESN_SP-2-2";"DESN_SP-2-2"
"48553041";1995;2025;201,22;202,3;1,08;-0,0049835;-0,227;0,052;"EZS 48";"Fehljahre: 2018";1;30;-0,461435185185185;"DESN_SP-2-2";"DESN_SP-2-2"
"48553043";1995;1985;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SP-2-2";"DESN_SP-2-2"
"48553047";1995;1981;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_NE-2";"DESN_NE-2"
"48553048";1995;2025;193,98;205,66;11,68;0,0243907;0,125;0,016;"EZS 48";"Fehljahre: 1997/2001, 2003/2010, 2020/2021, 2023/2025";18;13;0,20882448630137;"DESN_NE-2";"DESN_NE-2"
"48555112";2002;2025;191,61;192,35;0,74;-0,0196363;-0,788;0,621;"HW_S_DS 365";"Fehljahre: 2002/2017, 2019";17;7;-2,65355405405405;"DESN_NE-2";"DESN_NE-2"
"4855B1253";2006;2025;241,48;245,61;4,13;-0,1564488;-0,667;0,446;"ohne 0";"Fehljahre: 2006/2010, 2012/2015";9;11;-3,78810653753027;"DESN_NE-2";"DESN_NE-2"
"4855B1592";1997;2025;184;186,45;2,45;0,0196806;0,362;0,131;"ohne 0";"Fehljahre: 1997/2008, 2011/2013, 2017";16;13;0,803289795918367;"DESN_NE-2";"DESN_NE-2"
"4855B1593";1997;2025;184,37;185,62;1,25;0,005856;0,174;0,03;"ohne 0";"Fehljahre: 1997/2025";29;0;0,46848;"DESN_NE-2";"DESN_NE-2"
"4855B1630";1999;2025;177,02;186,63;9,61;0,4505446;0,892;0,795;"ohne 0";"Fehljahre: 1999/2025";27;0;4,68828928199792;"DESN_NE-2";"DESN_NE-2"
"4855B1631";1999;2025;186,79;188,02;1,23;0,0257322;0,632;0,399;"ohne 0";"Fehljahre: 1999/2025";27;0;2,0920487804878;"DESN_NE-2";"DESN_NE-2"
"4855B1670";1999;2025;181,48;186,51;5,03;0,1282392;0,685;0,469;"ohne 0";"Fehljahre: 1999/2008, 2011, 2013";12;15;2,54948707753479;"DESN_NE-2";"DESN_NE-2"
"4855B1671";1999;2025;184,54;186,07;1,53;0,0075431;0,183;0,033;"ohne 0";"Fehljahre: 1999/2025";27;0;0,493013071895425;"DESN_NE-2";"DESN_NE-2"
"4855B2056";1997;2025;181,96;185,7;3,74;0,0074725;0,138;0,019;"ohne 0";"Fehljahre: 1997/2025";29;0;0,199799465240642;"DESN_NE-2";"DESN_NE-2"
"4938ST1030";2001;2012;144,35;146,65;2,3;0,0184298;0,138;0,019;"ohne 0";"Fehljahre:";0;12;0,801295652173913;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
"49390053";1995;1989;NA;NA;NA;NA;NA;NA;"ohne 0";NA;NA;NA;NA;"DESN_SAL-GW-059";"DESN_SAL-GW-059"
